Section,d (in.),bf (in.),tf (in.),tw (in.),k (in.),Area (in.^2),Ix (in.^4),Iy (in.^4),Sx (in.^3),Sy (in.^3),Zx (in.^3),Zy (in.^3),Rx (in.),Ry (in.),J (in.^4)
W14X120,14.5,14.7,0.94,0.59,1.54,35.3,1380,495,190,67.5,212,102,6.24,3.74,9.37
W14X109,14.3,14.6,0.86,0.525,1.46,32,1240,447,173,61.2,192,92.7,6.22,3.73,7.12
W14X99,14.2,14.6,0.78,0.485,1.38,29.1,1110,402,157,55.2,173,83.6,6.17,3.71,5.37
W14X90,14,14.5,0.71,0.44,1.31,26.5,999,362,143,49.9,157,75.6,6.14,3.7,4.06
W14X82,14.3,10.1,0.855,0.51,1.45,24,881,148,123,29.3,139,44.8,6.05,2.48,5.07
W14X74,14.2,10.1,0.785,0.45,1.38,21.8,795,134,112,26.6,126,40.5,6.04,2.48,3.87
W14X68,14,10,0.72,0.415,1.31,20,722,121,103,24.2,115,36.9,6.01,2.46,3.01
W14X61,13.9,10,0.645,0.375,1.24,17.9,640,107,92.1,21.5,102,32.8,5.98,2.45,2.19
W14X53,13.9,8.06,0.66,0.37,1.25,15.6,541,57.7,77.8,14.3,87.1,22,5.89,1.92,1.94
W14X48,13.8,8.03,0.595,0.34,1.19,14.1,484,51.4,70.2,12.8,78.4,19.6,5.85,1.91,1.45
W14X43,13.7,8,0.53,0.305,1.12,12.6,428,45.2,62.6,11.3,69.6,17.3,5.82,1.89,1.05
W14X38,14.1,6.77,0.515,0.31,0.915,11.2,385,26.7,54.6,7.88,61.5,12.1,5.87,1.55,0.798
W14X34,14,6.75,0.455,0.285,0.855,10,340,23.3,48.6,6.91,54.6,10.6,5.83,1.53,0.569
W14X30,13.8,6.73,0.385,0.27,0.785,8.85,291,19.6,42,5.82,47.3,8.99,5.73,1.49,0.38
W14X26,13.9,5.03,0.42,0.255,0.82,7.69,245,8.91,35.3,3.55,40.2,5.54,5.65,1.08,0.358
W14X22,13.7,5,0.335,0.23,0.735,6.49,199,7,29,2.8,33.2,4.39,5.54,1.04,0.208
W12X336,16.8,13.4,2.96,1.78,3.55,98.9,4060,1190,483,177,603,274,6.41,3.47,243
W12X305,16.3,13.2,2.71,1.63,3.3,89.5,3550,1050,435,159,537,244,6.29,3.42,185
W12X279,15.9,13.1,2.47,1.53,3.07,81.9,3110,937,393,143,481,220,6.16,3.38,143
W12X252,15.4,13,2.25,1.4,2.85,74.1,2720,828,353,127,428,196,6.06,3.34,108
W12X230,15.1,12.9,2.07,1.29,2.67,67.7,2420,742,321,115,386,177,5.97,3.31,83.8
W12X210,14.7,12.8,1.9,1.18,2.5,61.8,2140,664,292,104,348,159,5.89,3.28,64.7
W12X190,14.4,12.7,1.74,1.06,2.33,56,1890,589,263,93,311,143,5.82,3.25,48.8
W12X170,14,12.6,1.56,0.96,2.16,50,1650,517,235,82.3,275,126,5.74,3.22,35.6
W12X152,13.7,12.5,1.4,0.87,2,44.7,1430,454,209,72.8,243,111,5.66,3.19,25.8
W12X136,13.4,12.4,1.25,0.79,1.85,39.9,1240,398,186,64.2,214,98,5.58,3.16,18.5
W12X120,13.1,12.3,1.11,0.71,1.7,35.2,1070,345,163,56,186,85.4,5.51,3.13,12.9
W12X106,12.9,12.2,0.99,0.61,1.59,31.2,933,301,145,49.3,164,75.1,5.47,3.11,9.13
W12X96,12.7,12.2,0.9,0.55,1.5,28.2,833,270,131,44.4,147,67.5,5.44,3.09,6.85
W12X87,12.5,12.1,0.81,0.515,1.41,25.6,740,241,118,39.7,132,60.4,5.38,3.07,5.1
W12X79,12.4,12.1,0.735,0.47,1.33,23.2,662,216,107,35.8,119,54.3,5.34,3.05,3.84
W12X72,12.3,12,0.67,0.43,1.27,21.1,597,195,97.4,32.4,108,49.2,5.31,3.04,2.93
W12X65,12.1,12,0.605,0.39,1.2,19.1,533,174,87.9,29.1,96.8,44.1,5.28,3.02,2.18
W12X58,12.2,10,0.64,0.36,1.24,17,475,107,78,21.4,86.4,32.5,5.28,2.51,2.1
W12X53,12.1,10,0.575,0.345,1.18,15.6,425,95.8,70.6,19.2,77.9,29.1,5.23,2.48,1.58
W12X50,12.2,8.08,0.64,0.37,1.14,14.6,391,56.3,64.2,13.9,71.9,21.3,5.18,1.96,1.71
W12X45,12.1,8.05,0.575,0.335,1.08,13.1,348,50,57.7,12.4,64.2,19,5.15,1.95,1.26
W12X40,11.9,8.01,0.515,0.295,1.02,11.7,307,44.1,51.5,11,57,16.8,5.13,1.94,0.906
W12X35,12.5,6.56,0.52,0.3,0.82,10.3,285,24.5,45.6,7.47,51.2,11.5,5.25,1.54,0.741
W12X30,12.3,6.52,0.44,0.26,0.74,8.79,238,20.3,38.6,6.24,43.1,9.56,5.21,1.52,0.457
W12X26,12.2,6.49,0.38,0.23,0.68,7.65,204,17.3,33.4,5.34,37.2,8.17,5.17,1.51,0.3
W12X22,12.3,4.03,0.425,0.26,0.725,6.48,156,4.66,25.4,2.31,29.3,3.66,4.91,0.848,0.293
W12X19,12.2,4.01,0.35,0.235,0.65,5.57,130,3.76,21.3,1.88,24.7,2.98,4.82,0.822,0.18
W12X16,12,3.99,0.265,0.22,0.565,4.71,103,2.82,17.1,1.41,20.1,2.26,4.67,0.773,0.103
W12X14,11.9,3.97,0.225,0.2,0.525,4.16,88.6,2.36,14.9,1.19,17.4,1.9,4.62,0.753,0.0704
W10X112,11.4,10.4,1.25,0.755,1.75,32.9,716,236,126,45.3,147,69.2,4.66,2.68,15.1
